Year,Month,Day,Period,1,2,3
2020,1,1,1,0.0,0.0,0.0
2020,1,1,2,13221.290399999998,14065.982063523768,8341.391288078348
2020,1,1,3,12537.857100000001,13497.433864217724,7191.743907961841
2020,1,1,4,11937.414299999999,12723.456036576881,6144.841350840509
2020,1,1,5,11813.154499999993,12186.30411377857,6503.302062368829
2020,1,1,6,11772.0908,12475.86969326305,6835.852844637202
2020,1,1,7,11923.756999999998,12609.450249274058,7146.544091113202
2020,1,1,8,12288.372500000001,13058.719221221516,7790.653926793908
2020,1,1,9,12932.791300000003,13661.776676429998,8969.337501159172
2020,1,1,10,12506.9877,13593.86010434106,11293.488886067673
2020,1,1,11,13981.806800000004,15184.43610414375,13079.23485749163
2020,1,1,12,15610.962999999998,17769.64561236748,12864.555347190902
2020,1,1,13,17131.241399999995,18020.92533347564,11938.823578597548
2020,1,1,14,18926.104300000003,18524.65371185452,10877.121799882752
2020,1,1,15,20643.0188,18737.57722027184,10137.70925357882
2020,1,1,16,21933.8879,18968.31149121057,9754.580189744705
2020,1,1,17,22701.013500000012,19043.890130474403,9132.321436151533
2020,1,1,18,22760.4756,18608.066963873363,8738.572674015924
2020,1,1,19,22297.695000000003,18080.817034553762,8698.45821966418
2020,1,1,20,20169.33850000001,16844.064909558892,8911.79112657199
2020,1,1,21,18065.805,15838.057809550834,9350.916119551628
2020,1,1,22,17241.905300000002,16130.498077812215,10142.156856178146
2020,1,1,23,15893.492599999998,15917.98760025062,10279.948298603798
2020,1,1,24,14936.674800000003,15482.81719879582,10142.838935798109
2020,1,2,1,13831.700000000004,14881.579117702626,9447.570620411816
2020,1,2,2,13159.700400000009,14453.902548684146,8721.494079983127
2020,1,2,3,12538.765700000002,13702.937441839458,7477.293452761201
2020,1,2,4,11998.003999999997,12983.489802526994,6905.856702460555
2020,1,2,5,11865.1483,12659.99914727459,6525.242321685218
2020,1,2,6,11796.8499,12668.529672801793,6646.347520628886
2020,1,2,7,11975.956100000001,12867.88331344282,6812.331120700296
2020,1,2,8,12294.095500000001,13169.812951720562,7363.519124623038
2020,1,2,9,12834.491400000004,13826.301656206546,8274.256103726982
2020,1,2,10,12351.115300000001,13767.667965836474,10239.906706894042
2020,1,2,11,13934.733699999995,15294.272741300669,11436.594764496398
2020,1,2,12,15341.108700000006,17701.527802188266,11901.219892681325
2020,1,2,13,16976.215099999998,18160.98145366995,11172.70697646966
2020,1,2,14,18859.3665,18781.11160139353,10556.12149250695
2020,1,2,15,20776.3066,19065.195346575365,10065.593636956546
2020,1,2,16,22619.933600000004,19115.951042845045,9813.124611003897
2020,1,2,17,23923.71440000001,19109.516141203607,9157.939820300124
2020,1,2,18,24198.7943,18532.2589287334,8609.19186130646
2020,1,2,19,23287.4811,17744.54322136156,8556.82935772169
2020,1,2,20,20746.9539,16479.622156631063,8875.454640010468
2020,1,2,21,18727.1839,15785.883334441813,9402.014101178558
2020,1,2,22,17715.2596,16400.5975614415,10215.511492009966
2020,1,2,23,16142.102299999999,16170.84615832055,10483.646442309102
2020,1,2,24,14991.3514,15884.931488653556,10390.408803075654
2020,1,3,1,13793.312200000004,15191.226708510085,9649.576489904404
2020,1,3,2,13023.338800000001,14708.637760940626,8904.305242194643
2020,1,3,3,12328.1792,14017.17431873828,7613.0441470872
2020,1,3,4,11771.2857,13127.173659495013,7303.307940803388
2020,1,3,5,11568.755000000005,12904.040065965904,7047.638256610226
2020,1,3,6,11536.1898,12811.311201379294,7209.14726147187
2020,1,3,7,11704.325499999997,12934.474700035867,7474.307330001443
2020,1,3,8,12041.683599999998,13257.320261404891,8030.217223525585
2020,1,3,9,12559.459499999992,13901.926729540879,9125.081534308909
2020,1,3,10,12240.128300000004,13901.08634668724,11049.299148435817
2020,1,3,11,13593.439299999998,15941.205724508854,12538.456142412764
2020,1,3,12,15117.271200000007,18015.208273045944,12565.200657233654
2020,1,3,13,16781.0016,18456.73021063054,11437.073063150388
2020,1,3,14,18789.5077,19181.266416097944,10622.27493598548
2020,1,3,15,20901.982300000003,19253.39232491551,10147.2502385558
2020,1,3,16,22741.656400000003,19219.478671641657,9895.98033185197
2020,1,3,17,23683.8832,19190.02455145993,9086.577637775204
2020,1,3,18,23820.158100000004,18614.42559249912,8671.55614043141
2020,1,3,19,23328.291500000003,17859.75207518231,8540.958985964444
2020,1,3,20,21071.18310000001,16690.41232248005,8741.444602492582
2020,1,3,21,18967.7455,16019.162023853398,9138.25771799279
2020,1,3,22,17929.530700000007,16699.06701052372,10163.560666285028
2020,1,3,23,16236.040499999997,16553.813355309252,10437.744304992997
2020,1,3,24,14982.611599999998,16205.88313190078,10209.663457014476
2020,1,4,1,13753.434800000003,15497.06699173002,9609.772309905133
